column,start,length
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION) (MALE),2904,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT) (MALE),2910,5
% OF STUDENTS NOT TAKING READING TESTS (STATE) (MALE),2916,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL) (MALE),2922,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION) (MALE),2928,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT) (MALE),2934,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE) (MALE),2940,5
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (FEMALE)",2946,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (FEMALE)",2952,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (FEMALE)",2960,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (FEMALE)",2968,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL) (FEMALE),2978,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION) (FEMALE),2984,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT) (FEMALE),2990,5
% OF STUDENTS NOT TAKING READING TESTS (STATE) (FEMALE),2996,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL) (FEMALE),3002,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION) (FEMALE),3008,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT) (FEMALE),3014,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE) (FEMALE),3020,5
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (WHITE)",3026,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (WHITE)",3032,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (WHITE)",3040,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11 (WHITE)",3048,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL) (WHITE),3058,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION) (WHITE),3064,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT) (WHITE),3070,5
% OF STUDENTS NOT TAKING READING TESTS (STATE) (WHITE),3076,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL) (WHITE),3082,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION) (WHITE),3088,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT) (WHITE),3094,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE) (WHITE),3100,5
