column,start,length
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3050,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3056,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3064,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3072,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL),3082,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION),3088,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT),3094,5
% OF STUDENTS NOT TAKING READING TESTS (STATE),3100,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL),3106,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION),3112,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT),3118,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE),3124,5
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3130,5
"TOTAL SUBREGION ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3136,7
"TOTAL DISTRICT ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3144,7
"TOTAL STATE ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3152,9
% OF STUDENTS NOT TAKING READING TESTS (SCHOOL),3162,5
% OF STUDENTS NOT TAKING READING TESTS (SUBREGION),3168,5
% OF STUDENTS NOT TAKING READING TESTS (DISTRICT),3174,5
% OF STUDENTS NOT TAKING READING TESTS (STATE),3180,5
% OF STUDENTS NOT TAKING MATH TESTS (SCHOOL),3186,5
% OF STUDENTS NOT TAKING MATH TESTS (SUBREGION),3192,5
% OF STUDENTS NOT TAKING MATH TESTS (DISTRICT),3198,5
% OF STUDENTS NOT TAKING MATH TESTS (STATE),3204,5
"TOTAL SCHOOL ENROLLMENT FOR GRADE 3, 4, 5, 6, 7, 8, AND 11",3210,5
